Tiempo,Temperatura,Resistencia
1330,115.415,144.0594
1335,114.8916,144.1776
1340,114.3334,143.9151
1345,114.2287,143.902
1350,114.2985,143.902
1355,113.8102,143.6395
1360,113.7405,143.587
1365,113.601,143.6658
1370,113.2523,143.3902
1375,113.0083,143.3246
1380,112.7991,143.3115
1385,112.5203,143.2327
1390,112.4506,143.1671
1395,111.9627,143.2458
1400,112.2066,142.9703
1405,112.2415,142.9965
1410,111.7188,142.8522
1415,111.1265,142.7209
1420,111.4749,142.6685
1425,111.0569,142.7603
1430,110.4648,142.4716
1435,110.4996,142.2748
1440,110.5345,142.3798
1445,110.3952,142.4323
1450,110.1514,142.3273
1455,109.8729,142.196
1460,109.3855,142.0648
1465,109.4551,141.9205
1470,109.2811,141.9992
1475,109.0027,141.8417
1480,108.5851,141.9073
1485,108.3763,141.8286
1490,108.1328,141.6843
1495,108.5155,141.553
1500,108.1676,141.4612
1505,107.3676,141.3431
1510,107.3676,141.3693
1515,107.1589,141.1069
1520,106.846,141.1462
1525,106.7764,140.9363
1530,106.6721,141.0938
1535,106.2549,140.8707
1540,106.4288,140.8707
1545,105.5946,140.7526
1550,105.6293,140.8182
1555,105.6641,140.7001
1560,105.4903,140.582
1565,105.2123,140.4376
1570,104.4827,140.4901
1575,104.9344,140.5951
1580,104.3438,140.2277
1585,104.3091,140.4245
1590,104.1701,140.1883
1595,103.3714,140.0702
1600,104.1701,139.8865
1605,103.302,139.8602
1610,103.4409,139.7552
1615,103.7881,139.8077
1620,103.1631,139.9258
1625,102.7812,139.6634
1630,102.7465,139.519
1635,102.4342,139.4797
1640,102.3647,139.4009
1645,102.3994,139.2828
1650,101.9136,139.2435
1655,102.1565,139.2303
1660,102.1565,139.1254
1665,101.2197,138.981
1670,100.9769,139.0729
1675,101.2891,138.876
1680,100.63,138.7448
1685,100.6994,138.6398
1690,100.4913,138.9285
1695,100.5607,138.548
1700,100.2832,138.4824
1705,99.7284,138.8892
1710,99.6591,138.3905
1715,99.6591,138.4167
1720,99.5551,138.2986
1725,98.6886,138.4036
1730,99.6591,138.233
1735,99.3471,138.0231
1740,98.5499,138.0624
1745,98.7925,137.9443
1750,98.4113,137.905
1755,98.0995,137.8918
1760,98.1341,137.8131
1765,97.7184,137.6425
1770,97.5452,137.8131
1775,97.6145,137.485
1780,97.753,137.6688
1785,97.372,137.3932
1790,97.1642,137.3013
1795,96.991,137.3407
1800,96.6447,137.2357
1805,96.4023,137.157
1810,96.2984,137.1701
1815,96.2292,137.1176
1820,96.4369,136.9208
1825,96.2638,136.9864
1830,95.9176,136.9995
1835,96.1253,136.9995
1840,95.7099,136.7896
1845,95.2253,136.5533
1850,94.8101,136.5927
1855,94.9485,136.3434
1860,94.8793,136.3828
1865,94.7408,136.5402
1870,94.5332,136.2909
1875,94.4986,136.1859
1880,94.2219,136.0941
1885,93.8067,136.304
1890,93.7722,136.1859
1895,93.6684,136.0547
1900,93.5646,136.3303
1905,93.8759,136.1203
1910,93.2534,135.9497
1915,93.0113,135.8185
1920,92.3544,135.6085
1925,92.5618,135.7266
1930,92.6309,135.7791
1935,92.5964,135.556
1940,92.1469,135.4773
1945,91.8704,135.556
1950,91.1792,135.3592
1955,91.9741,135.3723
1960,91.5248,135.2936
1965,91.7667,135.5167
1970,91.4211,135.1361
1975,91.041,135.2542
1980,90.7991,134.7162
1985,90.73,134.9393
1990,90.7991,134.9918
1995,90.3845,134.8474
2000,90.35,134.8868
2005,89.5556,134.7818
2010,90.1082,134.6375
2015,90.0046,134.6899
2020,89.97,134.7031
2025,89.3829,134.4537
2030,89.3484,134.4012
2035,89.0031,134.1782
2040,88.934,134.4012
2045,88.5543,134.375
2050,89.1067,134.0469
2055,88.6578,134.2831
2060,88.8305,134.0207
2065,88.3471,134.0863
2070,87.9675,133.9813
2075,88.071,134.0076
2080,87.8639,133.942
2085,87.4153,133.7582
2090,87.5878,133.7189
2095,87.3463,133.6533
2100,87.2428,133.6139
2105,87.0357,133.522
2110,87.2428,133.6533
2115,86.3113,133.2465
2120,86.4837,133.3908
2125,86.1043,133.194
2130,85.7594,133.2071
2135,85.9319,133.1415
2140,85.3801,133.2333
2145,85.3801,133.0234
2150,85.3801,132.9184
2155,84.9319,132.7084
2160,85.3801,132.774
2165,84.5871,132.774
2170,84.3803,132.774
2175,84.4148,132.6166
2180,84.2769,132.5247
2185,84.4493,132.5247
2190,84.139,132.341
2195,83.9667,132.4329
2200,84.208,132.3541
2205,83.691,132.3016
2210,83.691,132.1967
2215,83.6221,132.1704
2220,83.0363,132.1573
2225,83.312,132.0392
2230,83.2775,132.0523
2235,82.6229,131.9342
2240,82.4507,131.8423
2245,82.6229,131.803
2250,82.6574,131.8686
2255,82.3474,131.6193
2260,82.2096,131.7374
2265,81.8996,131.6324
2270,82.244,131.4749
2275,81.8308,131.5668
2280,81.6586,131.3962
2285,81.1421,131.5012
