Tiempo,Temperatura,Resistencia
1320,148.4421,156.4996
1325,148.655,156.6702
1330,149.0098,156.9064
1335,149.5776,156.9852
1340,149.6131,157.0377
1345,150.7849,157.4051
1350,150.7493,157.5232
1355,151.2111,157.4969
1360,151.3533,157.8775
1365,152.1707,158.2449
1370,152.6328,158.1662
1375,152.9884,158.2581
1380,153.2018,158.5599
